CALENDAR_ID,VehicleNumber,MESSAGE_TIME,LONGITUDE,LATITUDE
120210105,16407,22536,-1212497561,379625949
120210105,16408,46825,-1212254937,379104154
120210105,16408,48334,-1212858824,379551340
120210105,16408,48654,-1212745942,379568949
120210105,16408,48663,-1212735181,379528668
120210105,16408,48877,-1212708281,379391968
120210105,16408,49109,-1212726728,379397789
120210105,16408,49959,-1212670502,379313670
120210105,16408,50152,-1212554120,379217382
120210105,16408,50162,-1212509962,379228224
120210105,16408,50232,-1212481552,379155158
120210105,16408,50301,-1212462832,379102907
120210105,16408,50601,-1212331004,379069471
120210105,16408,51004,-1212496774,379197841
120210105,16408,51078,-1212510588,379233864
120210105,16408,51147,-1212542464,379311719
120210105,16408,51277,-1212612117,379324467
120210105,16408,51479,-1212714253,379455516
120210105,16408,51551,-1212720413,379478373
120210105,16408,51741,-1212768749,379580744
120210105,16408,51751,-1212802260,379575057
120210105,16408,51832,-1212863018,379548909
120210105,16408,54047,-1212670460,379313362
120210105,16408,54058,-1212665071,379300510
120210105,16408,54369,-1212497179,379198180
120210105,16408,54592,-1212338570,379108369
120210105,16408,54711,-1212256020,379074728
120210105,16408,54958,-1212480989,379153622
120210105,16408,55092,-1212528098,379275747
120210105,16408,55341,-1212717540,379389946
120210105,16408,55491,-1212717797,379389672
120210105,16408,55681,-1212719134,379473023
120210105,16408,55813,-1212750374,379583788
120210105,16408,57422,-1212726685,379397039
120210105,16408,57675,-1212663795,379297402
120210105,16408,57687,-1212657638,379280497
120210105,16408,57697,-1212619275,379200622
120210105,16408,57915,-1212469001,379114984
120210105,16408,57925,-1212461016,379100592
120210105,16408,58054,-1212343785,379108141
120210105,16408,58333,-1212339601,379072288
120210105,16408,58561,-1212483774,379165339
120210105,16408,58573,-1212496874,379198025
120210105,16408,59841,-1212858335,379551533
120210105,16408,69366,-1212512199,379617394
120210105,16409,26193,-1212497081,379621486
120210105,18401,67276,-1212513377,379614838
120210105,18403,66587,-1212507398,379616406
120210105,18403,68285,-1212512138,379621126
120210105,18403,68502,-1212513091,379614285
120210105,18405,73122,-1212502183,379621204
120210105,18405,77220,-1212513162,379614071
120210105,18405,78610,-1212512829,379613780
120210105,18405,79099,-1212493133,379620707
120210106,16401,22363,-1212510524,379618781
120210106,16403,21446,-1212510552,379618382
120210106,16403,22125,-1212699860,379536413
120210106,16403,25093,-1212880929,379563476
120210106,16403,27721,-1213138705,379659959
120210106,16403,28402,-1212905182,379588663
120210106,16403,33704,-1212875435,379551161
120210106,16403,44989,-1212875576,379550853
120210106,16403,52735,-1213130967,379631919
120210106,16403,56203,-1213105083,379975587
120210106,16403,58594,-1212865866,379560756
120210106,16403,66261,-1212509897,379616301
120210106,16403,68498,-1212503416,379623816
120210106,16404,59181,-1212511723,379616539
120210106,16405,58280,-1212511621,379616131
120210106,16406,30534,-1212511711,379618535
120210106,16406,47920,-1212496300,379621936
120210106,16406,51384,-1212496072,379620741
120210106,16406,56963,-1212498121,379622688
120210106,16407,38990,-1212496862,379619960
120210106,16408,67269,-1212512247,379622112
120210106,16409,35950,-1212498310,379622280
120210106,18401,64457,-1212513368,379614989
120210106,18401,76730,-1212513610,379614773
120210106,18401,76922,-1212511634,379621443
120210106,18401,77671,-1212513461,379614719
120210106,18403,70149,-1212512979,379614488
120210106,18403,73758,-1212513357,379614455
120210106,18403,73948,-1212512802,379621643
120210106,18405,70979,-1212513126,379614086
120210106,18405,72550,-1212513047,379613893
120210106,18405,72763,-1212511856,379621613
120210106,18405,73686,-1212513148,379614019
120210107,16401,23171,-1212343902,379541303
120210107,16401,29350,-1212845730,379546635
120210107,16401,33812,-1212517290,379348485
120210107,16401,33885,-1212441514,379369244
120210107,16401,34154,-1212288910,379351066
120210107,16401,35321,-1212679670,379425927
120210107,16401,40255,-1212862541,379546321
120210107,16401,62212,-1212851405,379545631
120210107,16401,67778,-1212509935,379616353
120210107,16402,53159,-1212509926,379618719
120210107,16403,21613,-1212532325,379609124
120210107,16403,41290,-1212875004,379550829
120210107,16403,47713,-1213209481,379868539
120210107,16403,53099,-1212956585,379593676
120210107,16403,55612,-1213217804,379887812
120210107,16403,66090,-1212510144,379616670
120210107,16404,57517,-1212511895,379616566
120210107,16405,21024,-1212511596,379616126
120210107,16405,59374,-1212513070,379616805
120210107,16407,21537,-1212495022,379622247
120210107,16408,20380,-1212510345,379617776
120210107,16408,20650,-1212484528,379606978
120210107,16408,20721,-1212369386,379484561
120210107,16408,25240,-1212754509,379583563
120210107,16408,25249,-1212771968,379579927
120210107,16408,25319,-1212797366,379556807
120210107,16408,25389,-1212813079,379552691
120210107,16408,25473,-1212862418,379545973
120210107,16408,25968,-1212858188,379550652
120210107,16408,25983,-1212849100,379548287
120210107,16408,26293,-1212713888,379495169
120210107,16408,26420,-1212704965,379392620
120210107,16408,27316,-1212695975,379382902
120210107,16408,27446,-1212648427,379253883
120210107,16408,27515,-1212610018,379202802
120210107,16408,27772,-1212452646,379089843
120210107,16408,27940,-1212248583,379089020
120210107,16408,28254,-1212458845,379098610
120210107,16408,28331,-1212493392,379189246
120210107,16408,28402,-1212510346,379232879
120210107,16408,28534,-1212556515,379339018
